study_id,StudyClass,Treatment Focus (Study level),Total N Randomized (Study level),Outcome,Outcome Measure,Comparison,NCPTSD Treatment Names,Assessment Point Category,Assessment Point,Analysis Type,Effect Size 1 Detail,Effect Size 1 Type,Effect Size 1 Value,Effect Size 1 Type of Variance Measure,Effect Size 1 Variance Value or Lower Bound,Effect Size 1 Variance Upper Bound,Effect Size 1 p value,Effect Size 2 Detail,Effect Size 2 Type,Effect Size 2 Value,Effect Size 2 Type of Variance Measure,Effect Size 2 Variance Value or Lower Bound,Effect Size 2 Variance Upper Bound,Effect Size 2 p value,Military Status (Study level),Active Duty Military (Study level),Veteran Percent (Study level),Community Percent (Study level),Female Percent (Study level),Female Percent Detail  (Study level),Male Percent (Study level),Trauma Type (Study level),Trauma Detail (Study level),Risk of Bias Rating (Study level),Citation,PTSDPubs ID,Year Added to PTSD-Repository
acarturk2016_BDIIIArab_AvsB_0_ITT_1,Psychotherapy,PTSD,98,Depression,BDI-II (Arabic version),A vs B,Eye Movement Desensitization and Reprocessing (EMDR) vs Waitlist,End of Treatment,0,ITT,,Mean estimated difference,-15.9,95% CI,-20.2,-11.09,p<0.001,Group effect,omega-squared,0.35,,,,p=0.001,Community,,,1,0.7449,,0.2551,Terrorism/political violence/forced displacement,,Medium,"Acarturk C, Konuk E, Cetinkaya M, et al. The efficacy of eye movement desensitization and reprocessing for post-traumatic stress disorder and depression among Syrian refugees: results of a randomized controlled trial. Psychol Med. 2016 Sep;46(12):2583-93. doi: 10.1017/S0033291716001070. PMID: 27353367.",45262,2019
acarturk2016_BDIIIArab_AvsB_4_ITT_1,Psychotherapy,PTSD,98,Depression,BDI-II (Arabic version),A vs B,Eye Movement Desensitization and Reprocessing (EMDR) vs Waitlist,Assessment at <3 Months,4,ITT,,Mean estimated difference,-13.28,95% CI,-18.73,-7.82,p<0.0001,Time effect; Group x Time interaction p=0.368,,,,,,p=0.472,Community,,,1,0.7449,,0.2551,Terrorism/political violence/forced displacement,,Medium,"Acarturk C, Konuk E, Cetinkaya M, et al. The efficacy of eye movement desensitization and reprocessing for post-traumatic stress disorder and depression among Syrian refugees: results of a randomized controlled trial. Psychol Med. 2016 Sep;46(12):2583-93. doi: 10.1017/S0033291716001070. PMID: 27353367.",45262,2019
acarturk2016_SCL25Dep_AvsB_0_ITT_1,Psychotherapy,PTSD,98,Depression,SCL-25 - Depression (Arabic version),A vs B,Eye Movement Desensitization and Reprocessing (EMDR) vs Waitlist,End of Treatment,0,ITT,,Mean estimated difference,-0.87,95% CI,-1.11,-0.64,p<0.001,Group effect,omega-squared,0.36,,,,p<0.001,Community,,,1,0.7449,,0.2551,Terrorism/political violence/forced displacement,,Medium,"Acarturk C, Konuk E, Cetinkaya M, et al. The efficacy of eye movement desensitization and reprocessing for post-traumatic stress disorder and depression among Syrian refugees: results of a randomized controlled trial. Psychol Med. 2016 Sep;46(12):2583-93. doi: 10.1017/S0033291716001070. PMID: 27353367.",45262,2019
acarturk2016_SCL25Dep_AvsB_4_ITT_1,Psychotherapy,PTSD,98,Depression,SCL-25 - Depression (Arabic version),A vs B,Eye Movement Desensitization and Reprocessing (EMDR) vs Waitlist,Assessment at <3 Months,4,ITT,,Mean estimated difference,-0.69,95% CI,-0.96,-0.41,p<0.001,Time effect; Group x Time interaction p=0.186,,,,,,p=0.186,Community,,,1,0.7449,,0.2551,Terrorism/political violence/forced displacement,,Medium,"Acarturk C, Konuk E, Cetinkaya M, et al. The efficacy of eye movement desensitization and reprocessing for post-traumatic stress disorder and depression among Syrian refugees: results of a randomized controlled trial. Psychol Med. 2016 Sep;46(12):2583-93. doi: 10.1017/S0033291716001070. PMID: 27353367.",45262,2019
acierno2017_BDIII_AvsB_0_Comp_1,Psychotherapy,PTSD,150,Depression,BDI-II,A vs B,Prolonged Exposure (PE) vs Prolonged Exposure (PE),End of Treatment,0,Completer,,Estimated effect size,-2.4,90% CI,-6.3,1.5,,,,,,,,,Veteran,,1,,0.0379,,0.9621,Combat-related,,Medium,"Acierno RE, Knapp RG, Tuerk PW, et al. A non-inferiority trial of prolonged exposure for posttraumatic stress disorder: in person versus home-based telehealth. Behav Res Ther. 2017;89:57-65. doi: 10.1016/j.brat.2016.11.009. PMID: 27894058.",45948,2019
acierno2017_BDIII_AvsB_12_Comp_1,Psychotherapy,PTSD,150,Depression,BDI-II,A vs B,Prolonged Exposure (PE) vs Prolonged Exposure (PE),Assessment at 3 to <6 Months,12,Completer,,Estimated effect size,-2,90% CI,-5.7,1.6,,,,,,,,,Veteran,,1,,0.0379,,0.9621,Combat-related,,Medium,"Acierno RE, Knapp RG, Tuerk PW, et al. A non-inferiority trial of prolonged exposure for posttraumatic stress disorder: in person versus home-based telehealth. Behav Res Ther. 2017;89:57-65. doi: 10.1016/j.brat.2016.11.009. PMID: 27894058.",45948,2019
acierno2017_BDIII_AvsB_26_Comp_1,Psychotherapy,PTSD,150,Depression,BDI-II,A vs B,Prolonged Exposure (PE) vs Prolonged Exposure (PE),Assessment at 6 to <12 Months,26,Completer,,Estimated effect size,-0.3,90% CI,-4.1,3.6,,,,,,,,,Veteran,,1,,0.0379,,0.9621,Combat-related,,Medium,"Acierno RE, Knapp RG, Tuerk PW, et al. A non-inferiority trial of prolonged exposure for posttraumatic stress disorder: in person versus home-based telehealth. Behav Res Ther. 2017;89:57-65. doi: 10.1016/j.brat.2016.11.009. PMID: 27894058.",45948,2019
adenauer2011_HAMD_AvsB_16_Comp_1,Psychotherapy,PTSD,34,Depression,HAM-D,A vs B,Narrative Exposure Therapy (NET) vs Waitlist,Assessment at 3 to <6 Months,16,Completer,Treatment x Time interaction,,,,,,p<0.005,,,,,,,,Community,,,1,0.4412,,0.5588,Terrorism/political violence/forced displacement,,High,"Adenauer H, Catani C, Gola H, et al. Narrative exposure therapy for PTSD increases top-down processing of aversive stimuli -- evidence from a randomized controlled treatment trial. BMC Neurosci. 2011 Dec 19;12:127. doi: 10.1186/1471-2202-12-127. PMID: 22182346.",37889,2019
ahmadi2015_PSQI_AvsB_0_Comp_1,Mixed: Psychotherapy & CIH,PTSD,48,Sleep,PSQI,A vs B,Eye Movement Desensitization and Reprocessing (EMDR) vs Rapid Eye Movement (REM) Desentization,End of Treatment,0,Completer,,,,,,,p=0.002,,,,,,,,Active Duty Military,1,0,0,0,,1,Combat-related,,High,"Ahmadi K, Hazrati M, Ahmadizadeh MJ, et al. REM desensitization as a new therapeutic method for post-traumatic stress disorder: a randomized controlled trial. Acta Med Indones. 2015 Apr;47(2):111-9.  PMID: 26260553.",46896,2019
ahmadi2015_PSQI_AvsBvsC_0_Comp_1,Mixed: Psychotherapy & CIH,PTSD,48,Sleep,PSQI,A vs B vs C,Eye Movement Desensitization and Reprocessing (EMDR) vs Rapid Eye Movement (REM) Desentization vs Waitlist,End of Treatment,0,Completer,,,,,,,p<0.001,,,,,,,,Active Duty Military,1,0,0,0,,1,Combat-related,,High,"Ahmadi K, Hazrati M, Ahmadizadeh MJ, et al. REM desensitization as a new therapeutic method for post-traumatic stress disorder: a randomized controlled trial. Acta Med Indones. 2015 Apr;47(2):111-9.  PMID: 26260553.",46896,2019
ahmadi2015_PSQI_AvsC_0_Comp_1,Mixed: Psychotherapy & CIH,PTSD,48,Sleep,PSQI,A vs C,Eye Movement Desensitization and Reprocessing (EMDR) vs Waitlist,End of Treatment,0,Completer,,,,,,,p<0.001,,,,,,,,Active Duty Military,1,0,0,0,,1,Combat-related,,High,"Ahmadi K, Hazrati M, Ahmadizadeh MJ, et al. REM desensitization as a new therapeutic method for post-traumatic stress disorder: a randomized controlled trial. Acta Med Indones. 2015 Apr;47(2):111-9.  PMID: 26260553.",46896,2019
ahmadi2015_PSQI_BvsC_0_Comp_1,Mixed: Psychotherapy & CIH,PTSD,48,Sleep,PSQI,B vs C,Rapid Eye Movement (REM) Desentization vs Waitlist,End of Treatment,0,Completer,,,,,,,p<0.001,,,,,,,,Active Duty Military,1,0,0,0,,1,Combat-related,,High,"Ahmadi K, Hazrati M, Ahmadizadeh MJ, et al. REM desensitization as a new therapeutic method for post-traumatic stress disorder: a randomized controlled trial. Acta Med Indones. 2015 Apr;47(2):111-9.  PMID: 26260553.",46896,2019
ahmadizadeh2019_BAI_AvsB_0_Comp_1,Nonpharmacologic biological,PTSD,40,Anxiety,BAI,A vs B,Transcranial direct current stimulation (tDCS) vs Sham,End of Treatment,0,Completer,Endpoint difference,,,,,,p=0.0001,,,,,,,,Community,,,1,0.65,,0.35,,,Medium,"Ahmadizadeh MJ, Rezaei M, Fitzgerald PB. Transcranial direct current stimulation (tDCS) for post-traumatic stress disorder (PTSD): a randomized, double-blinded, controlled trial. Brain research bulletin. 2019;153:273-8. PMID: 31560945.",1545324,2020
ahmadizadeh2019_BAI_AvsB_4_Comp_1,Nonpharmacologic biological,PTSD,40,Anxiety,BAI,A vs B,Transcranial direct current stimulation (tDCS) vs Sham,Assessment at <3 Months,4,Completer,Group x Time interaction,Wilks' lambda,0.72,,,,p=0.006,Endpoint difference,,,,,,p=0.0001,Community,,,1,0.65,,0.35,,,Medium,"Ahmadizadeh MJ, Rezaei M, Fitzgerald PB. Transcranial direct current stimulation (tDCS) for post-traumatic stress disorder (PTSD): a randomized, double-blinded, controlled trial. Brain research bulletin. 2019;153:273-8. PMID: 31560945.",1545324,2020
ahmadizadeh2019_BDIII_AvsB_0_Comp_1,Nonpharmacologic biological,PTSD,40,Depression,BDI-II,A vs B,Transcranial direct current stimulation (tDCS) vs Sham,End of Treatment,0,Completer,Endpoint difference,,,,,,p=0.008,,,,,,,,Community,,,1,0.65,,0.35,,,Medium,"Ahmadizadeh MJ, Rezaei M, Fitzgerald PB. Transcranial direct current stimulation (tDCS) for post-traumatic stress disorder (PTSD): a randomized, double-blinded, controlled trial. Brain research bulletin. 2019;153:273-8. PMID: 31560945.",1545324,2020
ahmadizadeh2019_BDIII_AvsB_4_Comp_1,Nonpharmacologic biological,PTSD,40,Depression,BDI-II,A vs B,Transcranial direct current stimulation (tDCS) vs Sham,Assessment at <3 Months,4,Completer,Group x Time interaction,Wilks' lambda,0.75,,,,p=0.011,Endpoint difference,,,,,,p=0.007,Community,,,1,0.65,,0.35,,,Medium,"Ahmadizadeh MJ, Rezaei M, Fitzgerald PB. Transcranial direct current stimulation (tDCS) for post-traumatic stress disorder (PTSD): a randomized, double-blinded, controlled trial. Brain research bulletin. 2019;153:273-8. PMID: 31560945.",1545324,2020
ahmadpanah2014_PSQI_Omnibus_0_ITT_1,Pharmacotherapy,PTSD,100,Sleep,PSQI,Omnibus,Prazosin vs Hydroxyzine vs Placebo,End of Treatment,0,ITT,Group x Time interaction,,,,,,p=0.000,,,,,,,,Community,,,1,0.28,,0.72,Mixed,"combat-related, accidents, natural or manmade disasters, other (not specified)",Medium,"Ahmadpanah M, Sabzeiee P, Hosseini SM, et al. Comparing the effect of prazosin and hydroxyzine on sleep quality in patients suffering from posttraumatic stress disorder. Neuropsychobiology. 2014 2016-09-15;69(4):235-42. doi: http://dx.doi.org/10.1159/000362243. PMID: 24993832.",43996,2019
